feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
3.657243166887867e-08,1.5673110137141162e-06,8.932352977102079e-08,8.567469317031368e-07
5.9175104734052615e-08,1.36969800742129e-06,1.2957888116284853e-07,5.672160501630052e-07
5.636990327416009e-08,1.3467827890365735e-06,1.4291418861918172e-07,6.219129251223268e-07
4.6882764455973295e-08,1.3259225706843501e-06,1.4282313641133725e-07,6.436941509358604e-07
5.637073423882479e-08,1.433137197735168e-06,9.850144361277758e-08,5.678954348728219e-07
3.0287778369104614e-08,1.1007958132558555e-06,9.496785001457171e-08,3.1387880518748e-07
2.733479837913684e-08,1.3937284462748429e-06,8.835704836127095e-08,6.710692121295763e-07
3.2281541564929676e-08,1.8613261656548376e-06,8.865783855369524e-08,1.1021823573987544e-06
3.246943372669762e-08,1.9545889641837863e-06,1.5184218368623308e-07,1.2222989609029561e-06
3.881435873582352e-08,1.357498014888474e-06,1.2275403059094063e-07,5.796030343747922e-07
2.1156779463872026e-08,1.5078719473577886e-06,6.170950527061949e-08,7.622738110987035e-07
4.273219627876176e-08,1.5592137510139121e-06,1.4002967218509795e-07,8.022852587501266e-07
4.617338612716546e-08,1.978841414338741e-06,1.7483632609089263e-07,1.2838085313741444e-06
3.559918814085935e-08,1.82336657394803e-06,1.3588147121575434e-07,1.085617568737372e-06
3.611099017799713e-08,1.6697448709354899e-06,6.9931529306068e-08,9.358861171040016e-07
4.2608264190434174e-08,1.0790136213615847e-06,1.0338859130245968e-07,3.1010316752847127e-07
4.7877701129572093e-08,1.1629526957748723e-06,1.5426605345926623e-07,3.9050053229263425e-07
4.3453206763362945e-08,1.807028165949977e-06,9.841422951453666e-08,1.0371504917264454e-06
2.719700035042642e-08,2.0656200894131586e-06,1.1214818830510843e-07,1.33442007486405e-06
4.4144298556666834e-08,7.062731333138223e-07,1.3771144912957084e-07,0.0
5.1346454591769855e-08,1.553554272476975e-06,1.0059689357004542e-07,8.174587055076906e-07
4.57295831003375e-08,1.6698988502289267e-06,1.1757131484188507e-07,1.0173135248599632e-06
3.351415714508344e-08,1.284633613024265e-06,2.2488422033937717e-08,5.757266441837225e-07
2.7338020089903772e-08,1.3403831087942434e-06,7.405021780759845e-08,5.754878525700677e-07
1.6355063814846777e-08,1.354063340503132e-06,8.316905681337871e-08,6.605940004298951e-07
